pickup_zone,borough,total_trips,total_revenue,avg_revenue_per_trip,avg_distance
JFK Airport,Queens,154267,11896493.43,77.12,15.52
LaGuardia Airport,Queens,88035,5633656.64,63.99,9.73
Midtown Center,Manhattan,133391,3146565.82,23.59,2.39
Upper East Side South,Manhattan,146156,2884763.49,19.74,1.81
Upper East Side North,Manhattan,136656,2821750.06,20.65,2.36
Times Sq/Theatre District,Manhattan,97114,2547495.74,26.23,3.38
Penn Station/Madison Sq West,Manhattan,107638,2509290.08,23.31,2.35
Midtown East,Manhattan,103825,2394873.38,23.07,2.36
Lincoln Square East,Manhattan,98681,2106400.16,21.35,2.45
Murray Hill,Manhattan,86852,1989597.97,22.91,2.47
Midtown North,Manhattan,83769,1949147.13,23.27,2.43
Clinton East,Manhattan,81790,1902152.9,23.26,2.76
Upper West Side South,Manhattan,85928,1837312.5,21.38,3.73
East Village,Manhattan,76548,1771933.45,23.15,3.4
East Chelsea,Manhattan,73710,1768714.69,24.0,2.52
Union Sq,Manhattan,80025,1756510.48,21.95,2.15
Lenox Hill West,Manhattan,79801,1617570.41,20.27,2.09
Midtown South,Manhattan,65891,1539875.96,23.37,2.59
West Village,Manhattan,66323,1514780.84,22.84,2.41
N/A,Unknown,38051,1493694.7,39.26,7.91
Lenox Hill East,Manhattan,65980,1483313.35,22.48,2.69
Gramercy,Manhattan,67027,1472388.32,21.97,2.29
Yorkville West,Manhattan,65052,1369505.89,21.05,2.6
Upper West Side North,Manhattan,62255,1336642.78,21.47,6.56
Sutton Place/Turtle Bay North,Manhattan,61395,1286764.33,20.96,5.19
Garment District,Manhattan,48202,1154750.59,23.96,2.54
Central Park,Manhattan,49073,1074643.34,21.9,2.31
West Chelsea/Hudson Yards,Manhattan,45445,1069788.97,23.54,2.46
Flatiron,Manhattan,47929,1068104.1,22.29,2.29
TriBeCa/Civic Center,Manhattan,38300,1009207.48,26.35,3.4
Yorkville East,Manhattan,42995,949602.45,22.09,3.08
Greenwich Village South,Manhattan,38919,898551.83,23.09,2.88
UN/Turtle Bay South,Manhattan,37160,887855.79,23.89,2.61
Greenwich Village North,Manhattan,39544,882797.31,22.32,2.24
Kips Bay,Manhattan,36311,792823.67,21.83,2.68
Lower East Side,Manhattan,30286,775504.08,25.61,5.96
East Elmhurst,Queens,12755,756843.45,59.34,9.5
Lincoln Square West,Manhattan,34183,720470.41,21.08,2.41
Meatpacking/West Village West,Manhattan,23796,598598.12,25.16,2.84
Little Italy/NoLiTa,Manhattan,23427,567435.45,24.22,2.89
Manhattan Valley,Manhattan,25421,546295.14,21.49,2.79
Battery Park City,Manhattan,15491,488463.85,31.53,4.44
SoHo,Manhattan,20272,483902.95,23.87,2.63
Financial District North,Manhattan,13573,438848.43,32.33,4.98
Clinton West,Manhattan,17962,409596.14,22.8,2.57
World Trade Center,Manhattan,12556,400073.03,31.86,22.41
East Harlem South,Manhattan,18530,386956.12,20.88,2.47
Hudson Sq,Manhattan,13709,333525.31,24.33,2.74
Morningside Heights,Manhattan,13157,302849.47,23.02,2.74
Financial District South,Manhattan,6618,219046.34,33.1,4.85
Bloomingdale,Manhattan,8343,187203.35,22.44,2.63
Central Harlem,Manhattan,6669,136115.3,20.41,15.99
Seaport,Manhattan,4301,130188.97,30.27,4.19
Flushing Meadows-Corona Park,Queens,1560,122706.9,78.66,9.62
East Harlem North,Manhattan,5926,121602.26,20.52,3.02
Baisley Park,Queens,1237,107599.71,86.98,14.32
Chinatown,Manhattan,3768,106792.2,28.34,3.63
Stuy Town/Peter Cooper Village,Manhattan,4149,97735.6,23.56,4.18
Alphabet City,Manhattan,3525,88797.64,25.19,4.01
Two Bridges/Seward Park,Manhattan,3032,86080.52,28.39,3.54
Sunnyside,Queens,1867,68983.53,36.95,4.57
South Jamaica,Queens,699,56336.79,80.6,12.7
Jamaica,Queens,791,56203.85,71.05,11.09
Hamilton Heights,Manhattan,2095,53091.34,25.34,3.72
Central Harlem North,Manhattan,2427,49811.01,20.52,2.78
Washington Heights South,Manhattan,1686,48888.1,29.0,4.64
Downtown Brooklyn/MetroTech,Brooklyn,1465,45055.74,30.75,6.94
Long Island City/Hunters Point,Queens,982,44763.49,45.58,9.34
